央视,#genre#
华语影院,https://pi.0472.org/hls/hyyy.m3u8
电竞天堂,https://pi.0472.org/hls/djtt.m3u8
青春动漫,https://pi.0472.org/hls/qcdm.m3u8
星光影院,https://pi.0472.org/hls/xgyy.m3u8
谍战剧场,https://pi.0472.org/hls/dzjc.m3u8
全球大片,https://pi.0472.org/hls/qqdp.m3u8
热门剧场,https://pi.0472.org/hls/rmjc.m3u8
热门综艺,https://pi.0472.org/hls/rmzy.m3u8
戏曲精选,https://pi.0472.org/hls/xqjx.m3u8
健康养生,https://pi.0472.org/hls/jkys.m3u8
百变课堂,https://pi.0472.org/hls/bbkt.m3u8
宝宝动画,https://pi.0472.org/hls/bbdh.m3u8
百视通体育1,https://pi.0472.org/hls/sport1.m3u8
百视通体育2,https://pi.0472.org/hls/sport2.m3u8
百视通体育3,https://pi.0472.org/hls/sport3.m3u8
百视通体育4,https://pi.0472.org/hls/sport4.m3u8
百视通体育5,https://pi.0472.org/hls/sport5.m3u8
百视通体育6,https://pi.0472.org/hls/sport6.m3u8
百视通体育7,https://pi.0472.org/hls/sport7.m3u8
